,total
2023-08-10 13:49:57.473173,179
2023-08-10 13:59:57.473173,179
2023-08-10 14:09:57.473173,179
2023-08-10 14:19:57.473173,179
2023-08-10 14:29:57.473173,179
2023-08-10 14:39:57.473173,179
2023-08-10 14:49:57.473173,179
2023-08-10 14:59:57.473173,179
2023-08-10 15:09:57.473173,179
2023-08-10 15:19:57.473173,179
2023-08-10 15:29:57.473173,179
2023-08-10 15:39:57.473173,179
2023-08-10 15:49:57.473173,179
2023-08-10 15:59:57.473173,179
2023-08-10 16:09:57.473173,179
2023-08-10 16:19:57.473173,179
2023-08-10 16:29:57.473173,179
2023-08-10 16:39:57.473173,179
2023-08-10 16:49:57.473173,179
2023-08-10 16:59:57.473173,179
2023-08-10 17:09:57.473173,179
2023-08-10 17:19:57.473173,179
2023-08-10 17:29:57.473173,179
2023-08-10 17:39:57.473173,179
2023-08-10 17:49:57.473173,179
2023-08-10 17:59:57.473173,179
2023-08-10 18:09:57.473173,179
2023-08-10 18:19:57.473173,179
2023-08-10 18:29:57.473173,179
2023-08-10 18:39:57.473173,179
2023-08-10 18:49:57.473173,179
2023-08-10 18:59:57.473173,179
2023-08-10 19:09:57.473173,179
2023-08-10 19:19:57.473173,179
2023-08-10 19:29:57.473173,179
2023-08-10 19:39:57.473173,179
2023-08-10 19:49:57.473173,179
2023-08-10 19:59:57.473173,179
2023-08-10 20:09:57.473173,179
2023-08-10 20:19:57.473173,179
2023-08-10 20:29:57.473173,179
2023-08-10 20:39:57.473173,179
2023-08-10 20:49:57.473173,179
2023-08-10 20:59:57.473173,179
2023-08-10 21:09:57.473173,179
2023-08-10 21:19:57.473173,179
2023-08-10 21:29:57.473173,179
2023-08-10 21:39:57.473173,179
2023-08-10 21:49:57.473173,179
2023-08-10 21:59:57.473173,179
2023-08-10 22:09:57.473173,179
2023-08-10 22:19:57.473173,179
2023-08-10 22:29:57.473173,179
2023-08-10 22:39:57.473173,179
2023-08-10 22:49:57.473173,179
2023-08-10 22:59:57.473173,179
2023-08-10 23:09:57.473173,179
2023-08-10 23:19:57.473173,179
2023-08-10 23:29:57.473173,179
2023-08-10 23:39:57.473173,179
2023-08-10 23:49:57.473173,179
2023-08-10 23:59:57.473173,179
2023-08-11 00:09:57.473173,179
2023-08-11 00:19:57.473173,179
2023-08-11 00:29:57.473173,179
2023-08-11 00:39:57.473173,179
2023-08-11 00:49:57.473173,179
2023-08-11 00:59:57.473173,179
2023-08-11 01:09:57.473173,179
2023-08-11 01:19:57.473173,179
2023-08-11 01:29:57.473173,179
2023-08-11 01:39:57.473173,179
2023-08-11 01:49:57.473173,179
2023-08-11 01:59:57.473173,179
2023-08-11 02:09:57.473173,179
2023-08-11 02:19:57.473173,179
2023-08-11 02:29:57.473173,179
2023-08-11 02:39:57.473173,179
2023-08-11 02:49:57.473173,179
2023-08-11 02:59:57.473173,179
2023-08-11 03:09:57.473173,179
2023-08-11 03:19:57.473173,179
2023-08-11 03:29:57.473173,179
2023-08-11 03:39:57.473173,179
2023-08-11 03:49:57.473173,179
2023-08-11 03:59:57.473173,179
2023-08-11 04:09:57.473173,179
2023-08-11 04:19:57.473173,179
2023-08-11 04:29:57.473173,179
2023-08-11 04:39:57.473173,179
2023-08-11 04:49:57.473173,179
2023-08-11 04:59:57.473173,179
2023-08-11 05:09:57.473173,179
2023-08-11 05:19:57.473173,179
2023-08-11 05:29:57.473173,179
2023-08-11 05:39:57.473173,179
2023-08-11 05:49:57.473173,179
2023-08-11 05:59:57.473173,179
2023-08-11 06:09:57.473173,179
2023-08-11 06:19:57.473173,179
2023-08-11 06:29:57.473173,179
2023-08-11 06:39:57.473173,179
2023-08-11 06:49:57.473173,179
2023-08-11 06:59:57.473173,179
2023-08-11 07:09:57.473173,179
2023-08-11 07:19:57.473173,179
2023-08-11 07:29:57.473173,179
2023-08-11 07:39:57.473173,179
2023-08-11 07:49:57.473173,179
2023-08-11 07:59:57.473173,179
2023-08-11 08:09:57.473173,179
2023-08-11 08:19:57.473173,179
2023-08-11 08:29:57.473173,179
2023-08-11 08:39:57.473173,179
2023-08-11 08:49:57.473173,179
2023-08-11 08:59:57.473173,179
2023-08-11 09:09:57.473173,179
2023-08-11 09:19:57.473173,179
2023-08-11 09:29:57.473173,179
2023-08-11 09:39:57.473173,179
2023-08-11 09:49:57.473173,179
2023-08-11 09:59:57.473173,179
2023-08-11 10:09:57.473173,179
2023-08-11 10:19:57.473173,179
2023-08-11 10:29:57.473173,179
2023-08-11 10:39:57.473173,179
2023-08-11 10:49:57.473173,179
2023-08-11 10:59:57.473173,179
2023-08-11 11:09:57.473173,179
2023-08-11 11:19:57.473173,179
2023-08-11 11:29:57.473173,179
2023-08-11 11:39:57.473173,179
2023-08-11 11:49:57.473173,179
2023-08-11 11:59:57.473173,179
2023-08-11 12:09:57.473173,179
2023-08-11 12:19:57.473173,179
2023-08-11 12:29:57.473173,179
2023-08-11 12:39:57.473173,179
2023-08-11 12:49:57.473173,179
2023-08-11 12:59:57.473173,179
2023-08-11 13:09:57.473173,184
2023-08-11 13:21:17.570371,185
2023-08-11 13:31:17.570371,185
2023-08-11 13:41:17.570371,185
